id,name,type,lat,lon,tags,version,changeset,timestamp,user,uid,visible,conveying,highway,incline,indoor,level,node_count
1154775280,Escalator 1154775280,way,38.9610312,-77.0856821,conveying=yes;highway=steps,2,145357945,2023-12-21T07:13:07Z,Arvari,19844270,true,yes,steps,,,,2
1154775284,Escalator 1154775284,way,38.9606490,-77.0851875,conveying=yes;highway=steps;tunnel=yes,2,133760712,2023-03-16T18:24:43Z,NickMole,2793077,true,yes,steps,,,,2
1155757365,Escalator 1155757365,way,38.9605709,-77.0855865,conveying=yes;highway=steps;tunnel=yes,1,133893166,2023-03-20T10:46:37Z,NickMole,2793077,true,yes,steps,,,,2
1177926652,Escalator 1177926652,way,38.8518032,-77.0424042,conveying=forward;highway=steps;incline=up;indoor=yes;level=0;1,2,136800602,2023-05-31T18:07:35Z,Ravi kiran noone,17718346,true,forward,steps,up,yes,0;1,4
1177926653,Escalator 1177926653,way,38.8518490,-77.0422222,conveying=backward;highway=steps;incline=down;indoor=yes;level=1;0,2,136800602,2023-05-31T18:07:35Z,Ravi kiran noone,17718346,true,backward,steps,down,yes,1;0,4
1177949610,Escalator 1177949610,way,38.8530980,-77.0429054,conveying=backward;highway=steps;incline=down;indoor=yes;level=2;1,2,142441453,2023-10-11T15:21:59Z,Pavans,17718139,true,backward,steps,down,yes,2;1,4
1177949611,Escalator 1177949611,way,38.8530656,-77.0430268,conveying=forward;highway=steps;incline=up;indoor=yes;level=1;2,2,142441453,2023-10-11T15:21:59Z,Pavans,17718139,true,forward,steps,up,yes,1;2,4
1178051583,Escalator 1178051583,way,38.8548459,-77.0437565,conveying=backward;highway=steps;incline=down;indoor=yes;level=2;3,3,164749055,2025-04-10T03:25:57Z,andrewth1,17230350,true,backward,steps,down,yes,2;3,4
1178051585,Escalator 1178051585,way,38.8548459,-77.0437565,conveying=forward;highway=steps;incline=up;indoor=yes;level=2;3,2,164749055,2025-04-10T03:25:57Z,andrewth1,17230350,true,forward,steps,up,yes,2;3,4
1178096359,Escalator 1178096359,way,38.8529783,-77.0437616,conveying=forward;highway=steps;incline=up;indoor=yes;level=0;1,1,136829924,2023-06-01T12:48:58Z,Pavans,17718139,true,forward,steps,up,yes,0;1,4
1178096360,Escalator 1178096360,way,38.8530479,-77.0437919,conveying=backward;highway=steps;incline=down;indoor=yes;level=1;0,1,136829924,2023-06-01T12:48:58Z,Pavans,17718139,true,backward,steps,down,yes,1;0,4
1178096366,Escalator 1178096366,way,38.8544202,-77.0443705,conveying=backward;highway=steps;incline=down;level=1;0,1,136829924,2023-06-01T12:48:58Z,Pavans,17718139,true,backward,steps,down,,1;0,4
1178096367,Escalator 1178096367,way,38.8544202,-77.0443705,conveying=forward;highway=steps;incline=up;level=0;1,1,136829924,2023-06-01T12:48:58Z,Pavans,17718139,true,forward,steps,up,,0;1,4
1178096384,Escalator 1178096384,way,38.8556446,-77.0441701,conveying=backward;highway=steps;incline=down;indoor=yes;level=1;0,1,136829924,2023-06-01T12:48:58Z,Pavans,17718139,true,backward,steps,down,yes,1;0,4
1178096386,Escalator 1178096386,way,38.8556782,-77.0440393,conveying=forward;highway=steps;incline=up;indoor=yes;level=0;1,1,136829924,2023-06-01T12:48:58Z,Pavans,17718139,true,forward,steps,up,yes,0;1,4
1181164665,Escalator 1181164665,way,38.9010642,-77.1889224,conveying=reversible;foot=yes;highway=steps;incline=up;level=0;1,2,137212522,2023-06-11T16:57:31Z,arichnad,383779,true,reversible,steps,up,,0;1,2
1190470722,Escalator 1190470722,way,38.8737852,-77.0067170,conveying=yes;highway=steps,2,138686708,2023-07-18T20:41:52Z,bspecht,3140030,true,yes,steps,,,,2
1190474319,Escalator 1190474319,way,38.8735895,-77.0084125,conveying=yes;highway=steps,1,138686708,2023-07-18T20:41:52Z,bspecht,3140030,true,yes,steps,,,,4
1193064308,Escalator 1193064308,way,38.8580195,-77.0515435,access=yes;conveying=forward;highway=steps;incline=down;indoor=no;layer=-1;level=0;-1;tunnel=yes,1,139159255,2023-07-29T05:18:41Z,andrewth1,17230350,true,forward,steps,down,no,0;-1,2
1214828644,Escalator 1214828644,way,38.8537103,-77.0432045,conveying=backward;highway=steps;incline=down;indoor=yes;level=1;0,1,142441453,2023-10-11T15:21:59Z,Pavans,17718139,true,backward,steps,down,yes,1;0,4
1214828646,Escalator 1214828646,way,38.8537103,-77.0432045,conveying=forward;highway=steps;incline=up;indoor=yes;level=0;1,1,142441453,2023-10-11T15:21:59Z,Pavans,17718139,true,forward,steps,up,yes,0;1,4
1315953308,Escalator 1315953308,way,38.8338077,-77.0462783,conveying=yes;highway=steps;incline=up;indoor=yes;layer=0-1;level=0-1,1,156693833,2024-09-16T15:29:48Z,jpeterson1346,1830039,true,yes,steps,up,yes,0-1,2
1315953315,Escalator 1315953315,way,38.8339506,-77.0465166,conveying=yes;highway=steps;incline=down;indoor=yes;layer=0-1;level=0-1,1,156693833,2024-09-16T15:29:48Z,jpeterson1346,1830039,true,yes,steps,down,yes,0-1,2
1318008640,Escalator 1318008640,way,38.9284289,-77.2416623,conveying=forward;highway=steps;incline=up,1,157061114,2024-09-25T01:41:31Z,Peter Towers,20955436,true,forward,steps,up,,,2
1318008641,Escalator 1318008641,way,38.9284897,-77.2417857,conveying=forward;highway=steps;incline=down,1,157061114,2024-09-25T01:41:31Z,Peter Towers,20955436,true,forward,steps,down,,,2
1318008644,Escalator 1318008644,way,38.9291594,-77.2408969,conveying=forward;highway=steps;incline=down,1,157061114,2024-09-25T01:41:31Z,Peter Towers,20955436,true,forward,steps,down,,,2
1318008645,Escalator 1318008645,way,38.9292629,-77.2408702,conveying=forward;highway=steps;incline=up,1,157061114,2024-09-25T01:41:31Z,Peter Towers,20955436,true,forward,steps,up,,,2
1321668165,Escalator 1321668165,way,38.9083410,-76.9346211,conveying=yes;highway=steps,1,157553315,2024-10-06T18:33:28Z,John Kastner,8486808,true,yes,steps,,,,2
1376361562,Escalator 1376361562,way,38.8524009,-77.0427951,conveying=yes;highway=steps;incline=up,1,164749055,2025-04-10T03:25:57Z,andrewth1,17230350,true,yes,steps,up,,,4
1376361563,Escalator 1376361563,way,38.8524181,-77.0427284,conveying=yes;highway=steps;incline=up,1,164749055,2025-04-10T03:25:57Z,andrewth1,17230350,true,yes,steps,up,,,4
